OA:geom,APN,CONDO,POINT_X,POINT_Y,LocationID,StreetNum,Prequalifi,Direction,StreetName,StreetSufx,Unit,City,State,Zip,UseCode,UseCodeDes,BldgSqft,LotSqft,latitude,longitude,X_min,X_max,Y_min,Y_max,Shape_area,Shape_len
"POLYGON ((565011.581500000320375 4190878.6357499994338,565007.068900000303984 4190904.882000001147389,565044.69565000012517 4190911.299,565049.508399999700487 4190885.2125,565011.581500000320375 4190878.6357499994338))",055 183213100,YES,565028.20427000,4190894.98674000,71843,2550,,,DANA,ST,,BERKELEY,CA,94704,7390,CONDOMINIUM-COMMON AREA,0,0,37.86320476,-122.26071359,565007.06890000,565049.50840000,4190878.63575000,4190911.29900000,1018.77538590000,129.82101701300
"POLYGON ((562519.81180000025779 4190028.839099999517,562504.675150000490248 4190024.9286,562496.860450000502169 4190054.97375,562511.5466499999166 4190058.6435,562518.123399999924 4190034.966299999505,562519.81180000025779 4190028.839099999517))",053 166004000,YES,562508.24304500,4190041.76403000,67007,1012,,,GRAYSON,ST,A,BERKELEY,CA,94710,4200,INDUSTRIAL LIGHT/MANUFAC.,1932,1667,37.85569154,-122.28943405,562496.86045000,562519.81180000,4190024.92860000,4190058.64350000,476.85359785500,92.74539444770
"POLYGON ((562519.81180000025779 4190028.839099999517,562504.675150000490248 4190024.9286,562496.860450000502169 4190054.97375,562511.5466499999166 4190058.6435,562518.123399999924 4190034.966299999505,562519.81180000025779 4190028.839099999517))",053 166004200,YES,562508.24304500,4190041.76403000,67009,1012,,,GRAYSON,ST,C,BERKELEY,CA,94710,4101,CONDOMINIUM-INDUSTRIAL,1932,1667,37.85569154,-122.28943405,562496.86045000,562519.81180000,4190024.92860000,4190058.64350000,476.85359785500,92.74539444770
